symbol,n_states,bic,aic,log_lik,oos_log_lik
PETR4,2,108906.12346506836,108807.98280558089,-54391.991402790445,-18072.193813162005
PETR4,3,86145.37805300784,85973.63189890474,-42965.81594945237,-13905.104020540766
PETR4,4,70402.73213627528,70141.02371097534,-35038.51185548767,-10519.378272253365
VALE3,2,109232.66202178801,109134.50906231655,-54555.25453115827,-17786.21912765275
VALE3,3,88523.16122832781,88351.39354925274,-44154.69677462637,-13738.548028827996
VALE3,4,74781.49645041431,74519.75522515706,-37227.87761257853,-11488.534200729982
ITUB4,2,116786.04850597591,116687.89827874489,-58331.949139372446,-19558.456701700365
ITUB4,3,97549.91903901129,97378.156141357,-48668.0780706785,-15925.087069180136
ITUB4,4,83164.85749513921,82903.12355585648,-41419.56177792824,-13602.010472797505
